Date,Buy or sell signal,Profit,95% VAR,99% VAR
23/05/2013,-2,-3660.034,8141.712987,11513.44112
28/05/2013,2,-10980.042,8041.333551,11506.21396
15/08/2013,-2,38359.984,7556.940843,10476.59459
04/09/2013,2,-14340.028,7049.92242,10194.57631
16/09/2013,-2,4839.966,7293.856757,10250.13291
17/09/2013,2,-16220.03,5795.291207,8413.607571
09/10/2013,-2,-11880.004,6886.689273,9581.451198
10/10/2013,2,-13880.004,6321.946179,9083.090102
24/01/2014,-2,164859.986,12175.56159,16789.19383
28/01/2014,2,-13659.974,9984.262062,14590.08291
29/01/2014,-2,-20459.962,12153.84118,16844.73181
30/01/2014,2,-37619.996,10827.28884,15647.18394
31/01/2014,-2,-88640.016,13446.58942,18694.82364
17/03/2014,2,-32700.014,12078.96412,17372.73917
20/03/2014,-2,-12140.016,11149.20492,15641.74302
05/06/2014,2,90799.988,12974.13656,18068.98641
25/07/2014,-2,880.006,11566.83324,16495.87158
14/08/2014,2,-18399.962,12596.60289,17658.68826
09/09/2014,-2,-6919.982,11862.32294,16729.32807
13/11/2014,2,26539.978,10128.89698,14282.2082
05/12/2014,-2,-7700.012,9421.744943,13403.87863
29/12/2014,2,1179.992,8570.496275,12060.90613
30/12/2014,-2,-3480.042,8546.533204,12114.49716
22/01/2015,2,-40.038,9200.532848,12828.17325
26/01/2015,-2,-1320.006,8786.080101,12519.99305
29/01/2015,2,-4239.99,9407.313909,13135.72915
17/04/2015,-2,127559.998,12796.57256,17904.21163
20/04/2015,2,-27900.024,12284.59531,17592.0234
08/07/2015,-2,80380.004,13651.69484,18878.66353
09/07/2015,2,-9380.006,12260.63988,17643.73731
24/08/2015,-2,57959.96,18023.50346,25160.00325
26/08/2015,2,-74799.988,17625.50907,25497.54276
28/09/2015,-2,6580.018,17455.50423,24412.58095
01/10/2015,2,-33319.946,16198.4517,23365.03166
04/01/2016,-2,232540.038,23425.09974,32467.91548
14/03/2016,2,127239.99,22796.62755,32326.61036
17/03/2016,-2,-27859.986,21742.9613,30801.50051
22/03/2016,2,-2079.956,22203.14011,31047.44734
28/10/2016,-2,431680.054,15128.57844,21041.33182
05/01/2017,2,-8260.01,17899.36521,25435.1452
30/06/2017,-2,375099.976,16827.33215,23114.1633
05/07/2017,2,-6800.048,14080.00705,20613.16324
06/07/2017,-2,-12520.018,16933.69685,23464.14794
07/07/2017,2,-27239.99,14160.4791,20726.84436
31/07/2017,-2,18040.038,19227.40641,26773.96276
13/09/2017,2,-23639.894,17804.69428,25621.48422
15/09/2017,-2,-25619.996,19551.97053,27200.72709
05/10/2017,2,11880.004,18392.59293,25955.1296
23/10/2017,-2,-29099.976,17441.53103,25078.02276
24/10/2017,2,-19200.072,18450.7239,25916.82405
26/10/2017,-2,-6940.062,17681.69349,25226.5835
27/10/2017,2,-257039.916,30068.19393,43064.13232
28/03/2018,-2,660940.186,42491.72582,58973.04506
17/04/2018,2,-144819.824,41539.43933,60452.9108
24/04/2018,-2,-87479.98,48653.89465,67595.52073
26/04/2018,2,-115739.99,43280.45649,63524.76625
04/10/2018,-2,782920.166,42698.35138,59048.8357
03/12/2018,2,274120.118,73059.55515,104516.9365
04/12/2018,-2,-207919.922,70311.67359,98490.97785
07/01/2019,2,77780.028,82236.96455,116080.3858
29/01/2019,-2,-71260.01,76032.02952,108720.0127
30/01/2019,2,-153100.098,85901.45588,120188.3501
08/02/2019,-2,-164420.166,78829.26465,112416.5363
12/02/2019,2,-99580.078,85553.99786,120643.2041
08/03/2019,-2,-34419.922,79595.13699,113376.6031
11/03/2019,2,-99639.892,83858.47551,117862.9654
23/05/2019,-2,289719.97,54837.12665,76043.35897
10/06/2019,2,-90300.05,49033.70603,70296.22379
12/06/2019,-2,-10620.118,52971.86979,73697.27695
13/06/2019,2,-29960.206,47575.07195,68017.77726
31/07/2019,-2,-7040.04,42964.74393,59810.32032
17/10/2019,2,158600.098,39491.82234,55824.92184
18/10/2019,-2,-59939.94,38378.94224,54888.58298
21/10/2019,2,-56300.048,38860.6938,54440.01168
22/10/2019,-2,-39860.108,37356.85073,52410.03562
24/10/2019,2,-30100.098,35745.46099,50696.19274
