Date,Buy/sell signal (2 = buy / -2 = sell),Profit,95% VAR,99% VAR
26/09/2014,2,-5759.994,1720.001714,2514.464156
01/10/2014,-2,-3140,2031.683782,2799.986257
02/10/2014,2,-1440.004,1708.770535,2479.778913
07/10/2014,-2,-2300.004,2020.291903,2805.955832
08/10/2014,2,-4100.006,1751.453011,2529.304802
14/10/2014,-2,-4100.006,2020.277467,2805.577264
21/10/2014,2,-7440.002,1889.067052,2690.412082
15/12/2014,-2,11520.004,2384.038139,3328.162182
17/12/2014,2,-2360.002,2187.455152,3157.636779
31/12/2014,-2,1939.986,2575.014409,3573.6226
22/01/2015,2,-4040.01,2643.97154,3778.558462
27/01/2015,-2,-6520.006,2781.870642,3883.834603
28/01/2015,2,-12339.998,2779.18008,4019.317457
17/04/2015,-2,18880.004,3373.624006,4739.766747
20/04/2015,2,-5699.996,3261.069128,4638.92879
30/04/2015,-2,-4899.992,3448.128541,4832.360819
01/05/2015,2,-7599.99,3270.335961,4746.806587
05/05/2015,-2,-6299.988,3509.407532,4893.673989
08/05/2015,2,-3640,3165.845375,4557.77174
11/05/2015,-2,-2600.006,3588.181635,5012.191218
14/05/2015,2,-5259.994,3177.390615,4549.728086
08/06/2015,-2,-2299.988,3344.056549,4626.528807
10/06/2015,2,-2160.004,2832.785148,4123.929361
12/06/2015,-2,-3420.014,3230.672968,4484.926506
16/07/2015,2,-2679.994,2687.735619,3768.902446
22/07/2015,-2,-6579.988,2652.686743,3755.762711
20/10/2015,2,22900.008,3472.574815,4841.579042
13/11/2015,-2,-2860.002,3493.093152,4993.414415
18/11/2015,2,-9900.01,3876.555544,5439.563128
03/12/2015,-2,-4180.008,3571.37574,5080.568916
04/12/2015,2,-7660.004,3902.964117,5476.20704
09/12/2015,-2,-6819.992,3602.297387,5119.403124
10/12/2015,2,-1099.99,3716.388001,5193.651124
11/12/2015,-2,-5979.996,3497.247679,4995.608635
01/03/2016,2,25300.002,3190.670949,4456.582256
27/04/2016,-2,-5419.998,2783.200381,4017.217086
07/07/2016,2,3759.996,2208.749923,3132.118847
26/07/2016,-2,1459.992,2016.617143,2857.51138
27/07/2016,2,-12559.998,2431.72181,3464.322984
09/09/2016,-2,360,2370.874797,3375.428381
12/09/2016,2,-4620.01,2469.97863,3486.573404
01/11/2016,-2,12099.992,2509.502002,3487.726868
09/12/2016,2,-4919.998,2298.873589,3320.938856
12/06/2017,-2,62940.002,2915.632648,3972.15728
17/07/2017,2,-8280,2361.163792,3402.803947
31/07/2017,-2,-1660.004,2642.898631,3662.358377
01/08/2017,2,-2640.014,2419.908513,3473.172741
20/09/2017,-2,12040.008,3296.072402,4614.669836
16/10/2017,2,-7619.996,3069.698011,4348.352179
19/10/2017,-2,-7800.018,3154.0973,4422.192112
27/10/2017,2,-14140.014,3248.496827,4634.557146
29/12/2017,-2,12359.986,3261.814065,4562.165557
02/01/2018,2,-6059.998,2925.467491,4221.415318
25/01/2018,-2,-2299.988,3130.014062,4408.114851
15/02/2018,2,-3760.008,3681.870035,5270.240406
21/03/2018,-2,-3440.002,4165.207989,5825.764801
26/03/2018,2,-3000,4090.324086,5823.579219
27/03/2018,-2,-8860.016,4112.081157,5828.365031
04/04/2018,2,-6540.01,4164.155582,5872.024597
06/04/2018,-2,-6459.992,4064.75071,5780.298957
10/04/2018,2,-9739.99,4216.638437,5982.403736
20/04/2018,-2,-15059.998,4205.883924,5917.582545
02/05/2018,2,-21700.012,4660.802644,6610.695271
25/06/2018,-2,11199.982,5088.076561,7101.036165
26/06/2018,2,-4519.99,4477.587689,6455.035382
03/07/2018,-2,-1019.99,4772.898778,6598.403658
05/07/2018,2,-2959.992,4065.038977,5883.554835
10/10/2018,-2,61920.014,4851.497054,6724.584607
12/10/2018,2,-11500,4413.281231,6496.232841
15/10/2018,-2,-9500,5145.615901,7162.183814
16/10/2018,2,-9579.986,4599.402604,6650.961008
18/10/2018,-2,-12259.98,5232.100362,7236.469827
22/10/2018,2,-9259.98,4677.070231,6689.365975
24/10/2018,-2,-11119.996,5266.188891,7406.285177
01/11/2018,2,-14260.01,5059.775108,7300.209873
02/11/2018,-2,-29480.01,5744.077958,8030.029743
30/01/2019,2,84459.992,7376.926156,10288.47186
13/05/2019,-2,40940.002,6726.468177,9355.117691
11/06/2019,2,-18179.994,4878.44443,7078.267607
12/06/2019,-2,-1239.992,5755.686628,7929.899254
18/06/2019,2,-8519.99,4817.572047,7058.622105
05/08/2019,-2,-10220.002,5215.552132,7308.666006
07/08/2019,2,-11399.994,5140.690891,7340.426775
23/08/2019,-2,7200.012,5883.032492,8274.25026
26/08/2019,2,-7700.012,5746.98775,8176.366903
